[(802.0022583007812, 125.85560607910156), (786.5216064453125, 217.35284423828125), (794.6008911132812, 263.78582763671875), (818.2870483398438, 398.93414306640625), (848.4993286132812, 570.4017333984375), (888.5344848632812, 566.6513671875), (808.96337890625, 574.216552734375)]

[(802.0022583007812, 125.85560607910156), (786.5216064453125, 217.35284423828125), (794.6008911132812, 263.78582763671875), (818.2870483398438, 398.93414306640625), (848.4993286132812, 570.4017333984375), (888.5344848632812, 566.6513671875), (808.96337890625, 574.216552734375)]

[(801.9935302734375, 125.8620376586914), (786.4938354492188, 217.35047912597656), (794.5352172851562, 263.754150390625), (817.989013671875, 398.720947265625), (847.6339111328125, 569.7827758789062), (887.8826904296875, 566.3134765625), (807.8323974609375, 573.2379150390625)]

[(801.9935302734375, 125.8620376586914), (786.4938354492188, 217.35047912597656), (794.5352172851562, 263.754150390625), (817.989013671875, 398.720947265625), (847.6339111328125, 569.7827758789062), (887.8826904296875, 566.3134765625), (807.8323974609375, 573.2379150390625)]

[(801.9230346679688, 125.88722229003906), (786.5028686523438, 217.42779541015625), (794.5494384765625, 263.82940673828125), (818.0517578125, 398.84716796875), (847.8878784179688, 570.12646484375), (888.1431274414062, 566.7008666992188), (808.0895385742188, 573.5531005859375)]

[(801.9230346679688, 125.88722229003906), (786.5028686523438, 217.42779541015625), (794.5494384765625, 263.82940673828125), (818.0517578125, 398.84716796875), (847.8878784179688, 570.12646484375), (888.1431274414062, 566.7008666992188), (808.0895385742188, 573.5531005859375)]

[(801.648681640625, 125.96885681152344), (786.4546508789062, 217.48538208007812), (794.4993896484375, 263.87091064453125), (818.003173828125, 398.8464660644531), (847.8971557617188, 570.0984497070312), (888.1471557617188, 566.6851806640625), (808.1073608398438, 573.5201416015625)]

[(801.648681640625, 125.96885681152344), (786.4546508789062, 217.48538208007812), (794.4993896484375, 263.87091064453125), (818.003173828125, 398.8464660644531), (847.8971557617188, 570.0984497070312), (888.1471557617188, 566.6851806640625), (808.1073608398438, 573.5201416015625)]

[(801.2969360351562, 126.01158905029297), (786.3728637695312, 217.55831909179688), (794.4130859375, 263.9164123535156), (817.91650390625, 398.826904296875), (847.8388061523438, 570.0352172851562), (888.0881958007812, 566.6435546875), (808.0552978515625, 573.443603515625)]

[(801.2969360351562, 126.01158905029297), (786.3728637695312, 217.55831909179688), (794.4130859375, 263.9164123535156), (817.91650390625, 398.826904296875), (847.8388061523438, 570.0352172851562), (888.0881958007812, 566.6435546875), (808.0552978515625, 573.443603515625)]

[(800.8395385742188, 126.00942993164062), (786.3159790039062, 217.6680908203125), (794.3385009765625, 264.00640869140625), (817.779052734375, 398.88165283203125), (847.597412109375, 570.0675048828125), (887.8380737304688, 566.6824951171875), (807.8236083984375, 573.4736938476562)]

[(800.8395385742188, 126.00942993164062), (786.3159790039062, 217.6680908203125), (794.3385009765625, 264.00640869140625), (817.779052734375, 398.88165283203125), (847.597412109375, 570.0675048828125), (887.8380737304688, 566.6824951171875), (807.8236083984375, 573.4736938476562)]

[(800.304931640625, 126.15026092529297), (786.20458984375, 217.76100158691406), (794.0106201171875, 264.3251953125), (816.1669921875, 400.70343017578125), (842.884033203125, 575.888671875), (883.0376586914062, 572.6646118164062), (803.1946411132812, 579.1622924804688)]

[(800.304931640625, 126.15026092529297), (786.20458984375, 217.76100158691406), (794.0106201171875, 264.3251953125), (816.1669921875, 400.70343017578125), (842.884033203125, 575.888671875), (883.0376586914062, 572.6646118164062), (803.1946411132812, 579.1622924804688)]

[(799.7431030273438, 126.18851470947266), (786.1536254882812, 217.8795623779297), (793.8580322265625, 264.7344970703125), (815.6326904296875, 402.6153869628906), (842.285400390625, 579.8798217773438), (882.4461669921875, 576.5675659179688), (802.595703125, 583.2489624023438)]

[(799.7431030273438, 126.18851470947266), (786.1536254882812, 217.8795623779297), (793.8580322265625, 264.7344970703125), (815.6326904296875, 402.6153869628906), (842.285400390625, 579.8798217773438), (882.4461669921875, 576.5675659179688), (802.595703125, 583.2489624023438)]

[(799.0933837890625, 126.25758361816406), (785.9893798828125, 217.98251342773438), (793.7655639648438, 264.7593688964844), (815.67724609375, 402.25567626953125), (843.8486328125, 576.2724609375), (884.0077514648438, 572.923095703125), (804.1593017578125, 579.6758422851562)]

[(799.0933837890625, 126.25758361816406), (785.9893798828125, 217.98251342773438), (793.7655639648438, 264.7593688964844), (815.67724609375, 402.25567626953125), (843.8486328125, 576.2724609375), (884.0077514648438, 572.923095703125), (804.1593017578125, 579.6758422851562)]

[(798.314208984375, 126.28378295898438), (785.6104736328125, 218.15542602539062), (793.3646240234375, 264.85076904296875), (815.275390625, 401.96319580078125), (843.264404296875, 575.2052001953125), (883.4495849609375, 572.65966796875), (803.4202880859375, 576.9429931640625)]

[(798.314208984375, 126.28378295898438), (785.6104736328125, 218.15542602539062), (793.3646240234375, 264.85076904296875), (815.275390625, 401.96319580078125), (843.264404296875, 575.2052001953125), (883.4495849609375, 572.65966796875), (803.4202880859375, 576.9429931640625)]

[(797.8026123046875, 126.34953308105469), (785.1701049804688, 218.4503936767578), (793.0552978515625, 265.0306701660156), (815.2521362304688, 401.9158020019531), (843.6365356445312, 574.7522583007812), (883.5548706054688, 572.6751708984375), (804.5881958007812, 575.5781860351562)]

[(797.8026123046875, 126.34953308105469), (785.1701049804688, 218.4503936767578), (793.0552978515625, 265.0306701660156), (815.2521362304688, 401.9158020019531), (843.6365356445312, 574.7522583007812), (883.5548706054688, 572.6751708984375), (804.5881958007812, 575.5781860351562)]

